,Time [s],Average gas temperature [K],Average kinetic energy density [J/cm^3],Average magnetic energy density [J/cm^3],Mass weighted average velocity dispersion [cm/s]
0,0.0000e+00,4.3296e+01,2.3236e-14,8.3650e-10,2.8646e+04
1,1.4853e+07,4.3296e+01,2.3249e-14,8.3839e-10,2.8729e+04
2,2.9805e+07,4.3292e+01,2.3263e-14,8.4410e-10,2.8934e+04
3,4.4575e+07,4.3274e+01,2.3215e-14,8.5358e-10,2.9161e+04
4,5.9201e+07,4.3233e+01,2.3019e-14,8.6738e-10,2.9350e+04
5,7.4384e+07,4.3156e+01,2.2557e-14,8.8851e-10,2.9615e+04
6,8.9511e+07,4.3048e+01,2.1782e-14,9.2162e-10,3.0219e+04
7,1.0465e+08,4.2927e+01,2.0747e-14,9.7401e-10,3.1234e+04
8,1.1921e+08,4.2811e+01,1.9594e-14,1.0446e-09,3.2370e+04
9,1.3458e+08,4.2699e+01,1.8284e-14,1.1322e-09,3.3506e+04
10,1.4906e+08,4.2616e+01,1.7058e-14,1.2118e-09,3.4336e+04
11,1.6446e+08,4.2573e+01,1.5878e-14,1.2821e-09,3.5142e+04
12,1.7904e+08,4.2595e+01,1.4977e-14,1.3350e-09,3.5952e+04
13,1.9420e+08,4.2694e+01,1.4289e-14,1.3772e-09,3.6948e+04
14,2.0938e+08,4.2873e+01,1.3808e-14,1.4060e-09,3.8024e+04
15,2.2400e+08,4.3177e+01,1.3473e-14,1.4191e-09,3.8632e+04
16,2.3935e+08,4.3600e+01,1.3213e-14,1.4176e-09,3.8724e+04
17,2.5415e+08,4.4059e+01,1.3030e-14,1.4029e-09,3.8416e+04
18,2.6906e+08,4.4546e+01,1.2944e-14,1.3772e-09,3.8123e+04
19,2.8406e+08,4.5042e+01,1.2948e-14,1.3436e-09,3.7959e+04
20,2.9911e+08,4.5532e+01,1.3006e-14,1.3060e-09,3.7901e+04
21,3.1358e+08,4.5987e+01,1.3075e-14,1.2699e-09,3.7937e+04
22,3.2890e+08,4.6441e+01,1.3105e-14,1.2356e-09,3.8001e+04
23,3.4380e+08,4.6851e+01,1.2980e-14,1.2094e-09,3.7910e+04
24,3.5877e+08,4.7253e+01,1.2777e-14,1.1928e-09,3.7619e+04
25,3.7361e+08,4.7645e+01,1.2547e-14,1.1835e-09,3.7386e+04
26,3.8862e+08,4.8024e+01,1.2239e-14,1.1834e-09,3.7242e+04
27,4.0376e+08,4.8368e+01,1.1775e-14,1.1851e-09,3.6789e+04
28,4.1824e+08,4.8679e+01,1.1214e-14,1.1827e-09,3.5966e+04
29,4.3336e+08,4.9004e+01,1.0658e-14,1.1760e-09,3.5075e+04
30,4.4832e+08,4.9315e+01,1.0173e-14,1.1661e-09,3.4265e+04
31,4.6372e+08,4.9631e+01,9.7469e-15,1.1564e-09,3.3509e+04
32,4.7826e+08,4.9926e+01,9.3998e-15,1.1523e-09,3.2709e+04
33,4.9315e+08,5.0224e+01,9.0656e-15,1.1553e-09,3.1719e+04
34,5.0833e+08,5.0521e+01,8.7520e-15,1.1666e-09,3.0772e+04
35,5.2356e+08,5.0809e+01,8.4728e-15,1.1818e-09,3.0346e+04
36,5.3800e+08,5.1064e+01,8.2110e-15,1.1918e-09,3.0076e+04
37,5.5343e+08,5.1315e+01,7.9332e-15,1.1986e-09,2.9782e+04
38,5.6808e+08,5.1541e+01,7.6796e-15,1.2038e-09,2.9617e+04
39,5.8290e+08,5.1766e+01,7.4660e-15,1.2081e-09,2.9454e+04
40,5.9803e+08,5.1990e+01,7.2950e-15,1.2132e-09,2.8991e+04
41,6.1328e+08,5.2211e+01,7.1421e-15,1.2215e-09,2.8297e+04
42,6.2782e+08,5.2427e+01,7.0882e-15,1.2259e-09,2.7716e+04
43,6.4278e+08,5.2649e+01,7.1427e-15,1.2190e-09,2.7365e+04
44,6.5796e+08,5.2855e+01,7.2397e-15,1.2043e-09,2.7278e+04
45,6.7286e+08,5.3032e+01,7.3648e-15,1.1857e-09,2.7502e+04
46,6.8810e+08,5.3191e+01,7.4698e-15,1.1680e-09,2.7634e+04
47,7.0310e+08,5.3345e+01,7.5836e-15,1.1502e-09,2.7833e+04
48,7.1779e+08,5.3496e+01,7.7194e-15,1.1301e-09,2.7998e+04
49,7.3267e+08,5.3641e+01,7.8421e-15,1.1089e-09,2.8312e+04
50,7.4769e+08,5.3778e+01,7.9042e-15,1.0885e-09,2.8670e+04
51,7.6262e+08,5.3921e+01,7.9404e-15,1.0712e-09,2.8869e+04
52,7.7761e+08,5.4074e+01,7.9856e-15,1.0584e-09,2.9224e+04
53,7.9277e+08,5.4228e+01,8.0388e-15,1.0456e-09,2.9678e+04
54,8.0741e+08,5.4373e+01,8.0645e-15,1.0345e-09,2.9948e+04
55,8.2254e+08,5.4515e+01,8.0646e-15,1.0251e-09,3.0008e+04
56,8.3734e+08,5.4650e+01,8.1037e-15,1.0180e-09,3.0273e+04
57,8.5228e+08,5.4790e+01,8.1795e-15,1.0129e-09,3.0942e+04
58,8.6735e+08,5.4932e+01,8.2564e-15,1.0106e-09,3.1650e+04
59,8.8257e+08,5.5094e+01,8.3151e-15,1.0115e-09,3.2149e+04
60,8.9760e+08,5.5266e+01,8.3442e-15,1.0142e-09,3.2543e+04
